observation_id,report_period_end,report_period_label,borrower_norm,source_ticker,source_cik,source_listed_status,target_ticker,target_cik,source_facility_id,source_prior_facility_id,target_prior_facility_id,source_results_timestamp_utc,source_mark_public_timestamp_utc,source_information_timestamp_utc,source_mark_public_evidence,target_prior_public_timestamp_utc,target_cutoff_timestamp_utc,reporting_window_days,source_current_mark,source_prior_mark,source_delta_mark,source_delta_pp,movement_eligible,development_borrower_excluded,target_current_outcome_used_for_eligibility,outcomes_revealed,unit_of_analysis
SN3X_76936a278b09a7a6bd1b52b63788,2024-12-31,2024Q4,investments,TSLX,1508655,listed,HTGC,1280784,EF_35a8d5b75e30e192c1d8ac218379,EF_c347b8635c436048bc2e373fde58,EF_26c0616649b52be241226901e5f3,2025-02-13T21:02:10Z,2025-02-13T16:02:00Z,2025-02-13T21:02:10Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-10-30T20:16:34Z,2025-02-13T21:16:42Z,0.010093,,,,,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_77b1758c454e0bbecea1f7d5d1bc,2024-09-30,2024Q3,realpage,NMFC,1496099,listed,OBDC,1655888,EF_f7c2103abfce43dcf5a22e6547a0,EF_77f87349912d86a1d50148821d09,EF_172daaa4288de064580d74474bbc,2024-10-30T20:14:36Z,2024-10-30T16:35:00Z,2024-10-30T20:14:36Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-08-07T20:16:31Z,2024-11-06T21:06:55Z,7.036331,0.9643564829,0.9774870485,-0.0131305656,-1.313057,True,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_78a3130f700efb790cf9c3fa9d99,2025-03-31,2025Q1,relativity oda,ARCC,1287750,listed,OBDC,1655888,EF_08acc1f1e68abd614574a6bd0f40,EF_9c238312a82ee834a968f7e0c9a6,EF_14fdeeb5a6cff72e1e42ab916448,2025-04-28T21:50:25Z,2025-04-28T21:50:00Z,2025-04-28T21:50:25Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2025-02-19T16:33:00Z,2025-05-07T20:15:44Z,8.934248,1.0000000000,1.0000000000,0.0000000000,0.000000,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_810c38d0e21738cbf422cf97b150,2025-09-30,2025Q3,baker tilly advisory,NMFC,1496099,listed,OBDC,1655888,EF_a754700ba04a1258955880b6aa3e,EF_81f5346750f8ea609f9c8999ad9b,EF_e60541e994612494a0b73b282ac5,2025-11-03T21:39:20Z,2025-11-03T16:44:00Z,2025-11-03T21:39:20Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2025-08-06T20:05:51Z,2025-11-05T21:36:07Z,1.997766,1.0000000000,1.0000000000,0.0000000000,0.000000,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_821a1f161e8b88f32eb90136912e,2025-06-30,2025Q2,galway borrower,ARCC,1287750,listed,NMFC,1496099,EF_8272c65613bc33076ccf53b2fa0b,EF_0062986a32b3a07898875389a16a,EF_286c984606eea517e22a24be3209,2025-07-28T21:11:20Z,2025-07-28T21:23:00Z,2025-07-28T21:23:00Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2025-05-05T20:16:38Z,2025-08-04T20:39:28Z,6.969769,1.0000000000,1.0000000000,0.0000000000,0.000000,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_88527e0941128cc8709a47436f9a,2025-06-30,2025Q2,offen,ARCC,1287750,listed,OBDC,1655888,EF_2b56e536284e184cb7f433d4197d,EF_178821c9dd0ebacb9f6b4028cc6f,EF_6670db96e31225735f42928a4e9c,2025-07-28T21:11:20Z,2025-07-28T21:23:00Z,2025-07-28T21:23:00Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2025-05-07T20:15:44Z,2025-08-06T20:05:51Z,8.946424,1.0000000000,1.0000000000,0.0000000000,0.000000,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_89328d60489a21b8bfd052784a2f,2025-03-31,2025Q1,wrench,ARCC,1287750,listed,NMFC,1496099,EF_9652e0568da953cc3266749323f7,EF_8092608a4af900539fd188095f6f,EF_6c10242a3962e402aaf2beb4274c,2025-04-28T21:50:25Z,2025-04-28T21:50:00Z,2025-04-28T21:50:25Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2025-02-26T21:25:39Z,2025-05-05T20:16:38Z,6.934873,1.0000000000,1.0000000000,0.0000000000,0.000000,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_8c7ac8a851551065285c5a15f7a8,2025-06-30,2025Q2,park place technologies,NMFC,1496099,listed,OBDC,1655888,EF_72acdd6fbfa660cacd4c5ba3ba4a,EF_c8f388013a44458baedca6a04583,EF_e15330d408679e363e871e5e11b0,2025-08-04T20:39:28Z,2025-08-04T16:49:00Z,2025-08-04T20:39:28Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2025-05-07T20:15:44Z,2025-08-06T20:05:51Z,1.976655,0.9975049245,0.9975114604,-0.0000065359,-0.000654,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_8d2a4984b6581e790ac1c1ed5a05,2024-03-31,2024Q1,medline borrower,ARCC,1287750,listed,OBDC,1655888,EF_84bf180751ba02412bedd4b9ee7c,EF_53a551a51fb46126bb8600739857,EF_8401292a8a6b15163e4068d81bce,2024-04-30T21:30:34Z,2024-04-30T21:41:00Z,2024-04-30T21:41:00Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-02-21T21:56:10Z,2024-05-08T20:11:16Z,7.937685,,,,,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
SN3X_90c7406d5fe65f4f1dc350598149,2024-09-30,2024Q3,proofpoint,ARCC,1287750,listed,OBDC,1655888,EF_242dcb4dc3dd5a168dd485adff81,EF_1b98ec88bd495ca821adcf67d4d4,EF_bc21b7df6f626edf3301dff0bd73,2024-10-29T20:49:55Z,2024-10-29T20:56:00Z,2024-10-29T20:56:00Z,SOI acceptance; no earlier exact facility mark verified in EX-99,2024-08-07T20:16:31Z,2024-11-06T21:06:55Z,8.007581,1.0000000000,1.0000000000,0.0000000000,0.000000,False,False,False,False,source BDC x report period x borrower x economic_facility_v2
