ticker,cik,quarter,period_end,first_results_timestamp_utc,first_results_timestamp_et,market_session,event_type,accession,source_url,verification_status,exclusion_reason
GBDC,1476765,2026Q2,2026-06-30,2026-08-03T20:03:45.000Z,2026-08-03T16:03:45-04:00,after-market,8-K_EX-99_RESULTS,0001476765-26-000045,https://www.sec.gov/Archives/edgar/data/1476765/000147676526000045/gbdcfy2026q3earningsprxex.htm,verified_exhibit_content,0001476765-26-000036: scheduling announcement; future results date only
NMFC,1496099,2026Q2,2026-06-30,2026-08-03T20:17:34.000Z,2026-08-03T16:17:34-04:00,after-market,8-K_EX-99_RESULTS,0001496099-26-000027,https://www.sec.gov/Archives/edgar/data/1496099/000149609926000027/nmfcearningspressreleaseq2.htm,verified_exhibit_content,
TSLX,1508655,2026Q2,2026-06-30,2026-08-04T20:02:32.000Z,2026-08-04T16:02:32-04:00,after-market,10-Q,0001193125-26-332725,https://www.sec.gov/Archives/edgar/data/1508655/000119312526332725/tslx-20260630.htm,verified_filing_fallback,
OCSL,1414932,2026Q2,2026-06-30,2026-08-04T21:55:00.000Z,2026-08-04T17:55:00-04:00,after-market,10-Q,0001414932-26-000017,https://www.sec.gov/Archives/edgar/data/1414932/000141493226000017/ocsl-20260630.htm,verified_filing_fallback,
BBDC,1379785,2026Q2,2026-06-30,2026-08-05T20:15:57.000Z,2026-08-05T16:15:57-04:00,after-market,8-K_EX-99_RESULTS,0001379785-26-000031,https://www.sec.gov/Archives/edgar/data/1379785/000137978526000031/exhibit99120260805earnings.htm,verified_exhibit_content,
OBDC,1655888,2026Q2,2026-06-30,2026-08-05T20:23:21.000Z,2026-08-05T16:23:21-04:00,after-market,8-K_EX-99_RESULTS,0001655888-26-000055,https://www.sec.gov/Archives/edgar/data/1655888/000165588826000055/exhibit991-obdcxpressrelea.htm,verified_exhibit_content,0001193125-26-291625: scheduling announcement; future results date only
MFIC,1278752,2026Q2,2026-06-30,2026-08-05T23:24:54.000Z,2026-08-05T19:24:54-04:00,after-market,10-Q,0001193125-26-335848,https://www.sec.gov/Archives/edgar/data/1278752/000119312526335848/mfic-20260630.htm,verified_filing_fallback,
BXSL,1736035,2026Q2,2026-06-30,2026-08-06T10:13:39.000Z,2026-08-06T06:13:39-04:00,pre-market,10-Q,0001736035-26-000016,https://www.sec.gov/Archives/edgar/data/1736035/000173603526000016/bxsl-20260630.htm,verified_filing_fallback,
FSK,1422183,2026Q2,2026-06-30,2026-08-06T10:27:33.000Z,2026-08-06T06:27:33-04:00,pre-market,10-Q,0001628280-26-053783,https://www.sec.gov/Archives/edgar/data/1422183/000162828026053783/fsk-20260630.htm,verified_filing_fallback,
CGBD,1544206,2026Q2,2026-06-30,2026-08-06T20:02:56.000Z,2026-08-06T16:02:56-04:00,after-market,8-K_EX-99_RESULTS,0001544206-26-000056,https://www.sec.gov/Archives/edgar/data/1544206/000154420626000056/cgbd_2026630xxex991earning.htm,verified_exhibit_content,
GSBD,1572694,2026Q2,2026-06-30,2026-08-06T20:50:00.000Z,2026-08-06T16:50:00-04:00,after-market,10-Q,0001193125-26-338331,https://www.sec.gov/Archives/edgar/data/1572694/000119312526338331/gsbd-20260630.htm,verified_filing_fallback,
OCIC,1812554,2026Q2,2026-06-30,2026-08-06T21:30:43.000Z,2026-08-06T17:30:43-04:00,after-market,10-Q,0001812554-26-000047,https://www.sec.gov/Archives/edgar/data/1812554/000181255426000047/orcic-20260630.htm,verified_filing_fallback,
ASIF,1918712,2026Q2,2026-06-30,2026-08-07T21:20:26.000Z,2026-08-07T17:20:26-04:00,after-market,10-Q,0001628280-26-054923,https://www.sec.gov/Archives/edgar/data/1918712/000162828026054923/asif-20260630.htm,verified_filing_fallback,0001628280-26-052601: Item 2.02 filing has no EX-99 results/NAV exhibit
BCRED,1803498,2026Q2,2026-06-30,2026-08-12T20:10:04.000Z,2026-08-12T16:10:04-04:00,after-market,10-Q,0001803498-26-000048,https://www.sec.gov/Archives/edgar/data/1803498/000180349826000048/bcred-20260630.htm,verified_filing_fallback,
